	AUC	Accuracy	Precision	Recall	validation	outer_split	vector_size
0	0.5075518230226153	0.5317320864851987	0.2859958214107281	0.4528140837556681	test	1	50, 50, 50, 50, 50, 50
1	0.5126705393043083	0.5275999166120674	0.2901946474658248	0.4788743664977327	test	1	50, 50, 50, 50, 50, 50
2	0.49639216922492463	0.6741839895169456	0.2559429767589316	0.09391837823419578	test	1	50, 50, 50, 50, 50, 50
3	0.5114028162841179	0.5327595449401393	0.28932535859520225	0.4630568151507069	test	1	50, 50, 50, 50, 50, 50
4	0.5120135739901011	0.5420885698969563	0.2904583501604588	0.44393171512403307	test	1	50, 50, 50, 50, 50, 50
5	0.5166264314703899	0.6205923521353267	0.2769677458233281	0.28127500666844496	test	1	50, 50, 50, 50, 50, 50
6	0.513020307098728	0.5426916433378998	0.29124517240029474	0.4458522272606028	test	1	50, 50, 50, 50, 50, 50
7	0.5129010833865462	0.5248451366966466	0.29023497318471986	0.48586289677247263	test	1	50, 50, 50, 50, 50, 50
8	0.5171872544238508	0.6189618202394425	0.27714377793497064	0.286796479061083	test	1	50, 50, 50, 50, 50, 50
9	0.5146490691569379	0.5298633033533862	0.2919926453904283	0.4802080554814617	test	1	50, 50, 50, 50, 50, 50
10	0.5139044934990521	0.5298856394067544	0.29138946504828395	0.47772739397172576	test	1	50, 50, 50, 50, 50, 50
11	0.49636118453136324	0.674139317410209	0.25587334568920506	0.09391837823419578	test	1	50, 50, 50, 50, 50, 50
12	0.5130291983586195	0.5422449222705342	0.2912673129301679	0.44689250466791147	test	1	50, 50, 50, 50, 50, 50
13	0.5109505744741807	0.5281955447018881	0.2888064406602696	0.4719125100026674	test	1	50, 50, 50, 50, 50, 50
14	0.5166613229296612	0.6207487045089046	0.2770140799041368	0.28103494265137374	test	1	50, 50, 50, 50, 50, 50
15	0.5117387083244646	0.5447912323545179	0.29031721977633795	0.43691651106961854	test	1	50, 50, 50, 50, 50, 50
16	0.5124415220040721	0.5189037465006849	0.2895530875411717	0.49781275006668446	test	1	50, 50, 50, 50, 50, 50
17	0.516643675125937	0.6207114777532908	0.2769963464175874	0.28106161643104827	test	1	50, 50, 50, 50, 50, 50
18	0.5069410204112792	0.5439424623265233	0.28585735403680584	0.42317951453721	test	1	50, 50, 50, 50, 50, 50
19	0.5120525518364942	0.5280168562749419	0.28970403757292185	0.47591357695385433	test	1	50, 50, 50, 50, 50, 50
20	0.49636634864695683	0.6741467627613318	0.25588494583445515	0.09391837823419578	test	1	50, 50, 50, 50, 50, 50
21	0.5102681927301826	0.5412100184644708	0.28886269231113715	0.4402240597492665	test	1	50, 50, 50, 50, 50, 50
22	0.5128445924524878	0.5298186312466496	0.290448881000555	0.47441984529207787	test	1	50, 50, 50, 50, 50, 50
23	0.5166346491499866	0.6207338138066592	0.27699293007719383	0.2809815950920246	test	1	50, 50, 50, 50, 50, 50
24	0.5105131963360825	0.5406441717791411	0.2889800532407523	0.4423046145638837	test	1	50, 50, 50, 50, 50, 50
25	0.5126803735766126	0.5287688367383406	0.2902632079449705	0.4762603360896239	test	1	50, 50, 50, 50, 50, 50
26	0.516622165461856	0.6207040324021681	0.27697991685892115	0.28100826887169916	test	1	50, 50, 50, 50, 50, 50
0	0.8701253667644706	0.8701253667644705	0.8561844555914924	0.8898106161643105	train	1	50, 50, 50, 50, 50, 50
1	0.805841557748733	0.805841557748733	0.7889657293309238	0.8349693251533743	train	1	50, 50, 50, 50, 50, 50
2	0.499586556415044	0.499586556415044	0.48445531199095304	0.097332622032542	train	1	50, 50, 50, 50, 50, 50
3	0.863616964523873	0.863616964523873	0.8443181176343282	0.893331555081355	train	1	50, 50, 50, 50, 50, 50
4	0.8018404907975459	0.801840490797546	0.8050196246566557	0.7967724726593759	train	1	50, 50, 50, 50, 50, 50
5	0.5242197919445185	0.5242197919445186	0.5096266761114968	0.28866364363830355	train	1	50, 50, 50, 50, 50, 50
6	0.8507602027207255	0.8507602027207255	0.8388685446726754	0.8707388636969858	train	1	50, 50, 50, 50, 50, 50
7	0.7915310749533209	0.7915310749533209	0.7727466230492744	0.8259269138436915	train	1	50, 50, 50, 50, 50, 50
8	0.5250200053347559	0.525020005334756	0.509894235921218	0.2947719391837823	train	1	50, 50, 50, 50, 50, 50
9	0.8514403841024273	0.8514403841024274	0.8275063006614571	0.888636969858629	train	1	50, 50, 50, 50, 50, 50
10	0.8164177113897038	0.8164177113897039	0.8008663980312631	0.8419311816484396	train	1	50, 50, 50, 50, 50, 50
11	0.4995732195252067	0.4995732195252067	0.4844167383468574	0.09730594825286742	train	1	50, 50, 50, 50, 50, 50
12	0.8604294478527608	0.8604294478527608	0.8507305086735197	0.8750600160042679	train	1	50, 50, 50, 50, 50, 50
13	0.830821552413977	0.830821552413977	0.8183558504524955	0.8504934649239797	train	1	50, 50, 50, 50, 50, 50
14	0.5242464657241931	0.5242464657241932	0.5096739957481196	0.2884769271805815	train	1	50, 50, 50, 50, 50, 50
15	0.8574419845292078	0.8574419845292078	0.8519864617540356	0.865270738863697	train	1	50, 50, 50, 50, 50, 50
16	0.8033475593491597	0.8033475593491597	0.7791146878400779	0.8473192851427047	train	1	50, 50, 50, 50, 50, 50
17	0.524286476393705	0.524286476393705	0.5097097152428021	0.2885569485196052	train	1	50, 50, 50, 50, 50, 50
18	0.8842624699919979	0.8842624699919979	0.8817318509186279	0.887810082688717	train	1	50, 50, 50, 50, 50, 50
19	0.8119231795145373	0.8119231795145372	0.7974099678121093	0.8363030141371033	train	1	50, 50, 50, 50, 50, 50
20	0.499586556415044	0.499586556415044	0.4844549880940947	0.09735929581221658	train	1	50, 50, 50, 50, 50, 50
21	0.8765270738863697	0.8765270738863697	0.8659744903255111	0.890984262469992	train	1	50, 50, 50, 50, 50, 50
22	0.8034542544678581	0.8034542544678581	0.7900182498910362	0.827367297946119	train	1	50, 50, 50, 50, 50, 50
23	0.524286476393705	0.524286476393705	0.5097097152428021	0.2885569485196052	train	1	50, 50, 50, 50, 50, 50
24	0.8772339290477461	0.8772339290477461	0.8676933217150933	0.8902107228594291	train	1	50, 50, 50, 50, 50, 50
25	0.8290610829554548	0.8290610829554548	0.8144137330646765	0.852440650840224	train	1	50, 50, 50, 50, 50, 50
26	0.5242998132835422	0.5242998132835424	0.509724239858487	0.2885569485196052	train	1	50, 50, 50, 50, 50, 50
0	0.5151381782616778	0.5380978616951575	0.29305134106692415	0.46316351026940517	test	1	50, 25, 50, 25, 50, 25
1	0.5151718123710655	0.5397135028887963	0.2930910670879406	0.45961589757268606	test	1	50, 25, 50, 25, 50, 25
2	0.5171574372694671	0.5047054619095837	0.29254249730507825	0.5453454254467859	test	1	50, 25, 50, 25, 50, 25
3	0.515569134934299	0.5298111858955268	0.2927247662036616	0.4833288877033875	test	1	50, 25, 50, 25, 50, 25
4	0.5144189741282299	0.5394529155994997	0.2924240395274318	0.4577487329954655	test	1	50, 25, 50, 25, 50, 25
5	0.5077908542165679	0.4730552742867354	0.28467324942218053	0.5864230461456389	test	1	50, 25, 50, 25, 50, 25
6	0.5137168789342702	0.5418577640121508	0.2919354680744371	0.4500133368898373	test	1	50, 25, 50, 25, 50, 25
7	0.5144765876961129	0.5231103698850438	0.29141162345648347	0.4949319818618298	test	1	50, 25, 50, 25, 50, 25
8	0.5078054933616417	0.4730999463934719	0.2846842304304757	0.5863696985862896	test	1	50, 25, 50, 25, 50, 25
9	0.5174109728924347	0.5391476562034666	0.2950043223698072	0.46820485462790085	test	1	50, 25, 50, 25, 50, 25
10	0.5150773764137327	0.537621359223301	0.29292648551917577	0.4640437449986663	test	1	50, 25, 50, 25, 50, 25
11	0.517222774558064	0.5045640002382512	0.2925814333969689	0.5458789010402775	test	1	50, 25, 50, 25, 50, 25
12	0.5132658944742168	0.526349097623444	0.2905953499408864	0.48364897305948257	test	1	50, 25, 50, 25, 50, 25
13	0.5157866115588176	0.5278977306569778	0.2927874110211283	0.4883702320618831	test	1	50, 25, 50, 25, 50, 25
14	0.5080528769512498	0.47732146048007623	0.2850286879682118	0.5776206988530275	test	1	50, 25, 50, 25, 50, 25
15	0.5116035432119722	0.5322830424682828	0.2895220398552123	0.46479061082955453	test	1	50, 25, 50, 25, 50, 25
16	0.5151622475308792	0.5244877598427542	0.2920175399422015	0.4940517471325688	test	1	50, 25, 50, 25, 50, 25
17	0.5077628781816566	0.47300315682887606	0.28465331251689446	0.5864497199253134	test	1	50, 25, 50, 25, 50, 25
18	0.5113478970374142	0.5386190362737506	0.2898977242365989	0.4496132301947186	test	1	50, 25, 50, 25, 50, 25
19	0.5179063238412397	0.5385892548692597	0.2953087542594793	0.4710856228327554	test	1	50, 25, 50, 25, 50, 25
20	0.5171939453214459	0.5045342188337602	0.29255860453463195	0.5458522272606029	test	1	50, 25, 50, 25, 50, 25
21	0.5106637190792965	0.5419098814700102	0.28946380016952766	0.4399306481728461	test	1	50, 25, 50, 25, 50, 25
22	0.5158687883547847	0.5306674012746441	0.29300650784050947	0.48236863163510274	test	1	50, 25, 50, 25, 50, 25
23	0.5080528769512498	0.47732146048007623	0.2850286879682118	0.5776206988530275	test	1	50, 25, 50, 25, 50, 25
24	0.5062823935990113	0.535581333015665	0.28497367766467696	0.4399573219525207	test	1	50, 25, 50, 25, 50, 25
25	0.5157041653307324	0.5364747751503961	0.2933025486200365	0.4686849826620432	test	1	50, 25, 50, 25, 50, 25
26	0.5077710509559001	0.47300315682887606	0.28465856155248154	0.5864763937049879	test	1	50, 25, 50, 25, 50, 25
0	0.8244065084022406	0.8244065084022406	0.809167054378978	0.8491864497199253	train	1	50, 25, 50, 25, 50, 25
1	0.7940517471325687	0.7940517471325687	0.7877388038226023	0.8050680181381702	train	1	50, 25, 50, 25, 50, 25
2	0.5289543878367564	0.5289543878367564	0.5280482407846139	0.564443851693785	train	1	50, 25, 50, 25, 50, 25
3	0.8423179514537209	0.842317951453721	0.8166057844033708	0.8834622566017605	train	1	50, 25, 50, 25, 50, 25
4	0.7971725793544946	0.7971725793544945	0.7909499841467094	0.8078687650040011	train	1	50, 25, 50, 25, 50, 25
5	0.5126967191251	0.5126967191251	0.511020124539854	0.5896772472659375	train	1	50, 25, 50, 25, 50, 25
6	0.8455721525740199	0.8455721525740197	0.8338119830590136	0.863110162710056	train	1	50, 25, 50, 25, 50, 25
